index,output
1,5.0016869419696155
2,5.003653189707302
3,5.0008827200483585
4,4.994009580037536
5,4.990510757253368
6,4.996791014021612
7,5.009393812382063
8,5.016085731945974
9,5.007742132734352
10,4.989519577782213
11,4.978484215455885
12,4.987698249967989
13,5.011600342957493
14,5.0285210059594565
15,5.0204086352047135
16,4.991811093866718
17,4.968468485276095
18,4.97426045911622
19,5.007139333967192
20,5.038117810029105
21,5.036903536818514
22,5.001546542391222
23,4.963189861407942
24,4.9588362386236815
25,4.995882412495112
26,5.042357039424939
27,5.0545603001338435
28,5.018306724145241
29,4.964873234715649
30,4.944318102554428
31,4.97879366598997
32,5.039387307599468
33,5.070350182767079
34,5.040601622656161
35,4.9749272131352695
36,4.933775922552096
37,4.957854178131582
38,5.028300011981913
39,5.081260040130159
40,5.066009052838348
41,4.993716941158014
42,4.9300681899750876
43,4.935863372133941
44,5.0093017694092765
45,5.08468131720807
46,5.09142852798369
47,5.02045187353805
48,4.935463552512928
49,4.916136240029572
50,4.983762514629607
51,5.078767375936025
52,5.11342526957221
53,5.0532040659192745
54,4.951314782724025
55,4.902126930930552
56,4.954130287766266
57,5.062718782098252
58,5.128629227177806
59,5.089059084842418
60,4.9778227254677345
61,4.897017632058977
62,4.923717593615496
63,5.036962818238154
64,5.13414733288919
65,5.124387728333713
66,5.013919247668836
67,4.9033163228173064
68,4.896377835426256
69,5.00320369569792
70,5.127944695418104
71,5.155213760762122
72,5.057286564237733
73,4.922507294294452
74,4.876102353450699
75,4.964332754688585
76,5.109152360808523
77,5.177642104421433
78,5.104516639134055
79,4.954794198344214
80,4.86657781537226
81,4.924202144927539
82,5.078265520319026
83,5.188304500542631
84,5.151399973772313
85,4.9989671446087405
86,4.870749147115301
87,4.887279696426236
88,5.037206101281124
89,5.184776354234617
90,5.1933193994481
91,5.052413727138711
92,4.890434243190692
93,4.858215521723789
94,4.989236626732081
95,5.1659197257998635
96,5.225712847123393
97,5.111279901371339
98,4.926033153089877
99,4.841361046831102
100,4.938726871778048
101,5.1321132090100265
102,5.244560665437115
103,5.170771658077125
104,4.976366540142194
105,4.8402875904571285
106,4.890789789982859
107,5.085339293335983
108,5.246848797170241
109,5.225573888246717
110,5.038666610821284
111,4.857353578408445
112,4.850816984621829
113,5.029112889268135
114,5.230959528619339
115,5.270350126825697
116,5.108729443260514
117,4.893366681821119
118,4.823955288105597
119,4.968249823857735
120,5.196946684210955
121,5.300277284383106
122,5.181222009550719
123,4.94737974129036
124,4.814573627251484
125,4.908489885202836
126,5.146661688069793
127,5.311564037079572
128,5.250121653888443
129,5.016647864854074
130,4.825772452951441
131,4.856003912570184
132,5.083710067006559
133,5.301900891152987
134,5.3092518508112665
135,5.09675954524808
136,4.858986167771374
137,4.81682703945104
138,5.013233576377763
139,5.270794276480478
140,5.352867104643288
141,5.181938325035259
142,4.913722217964457
143,4.796269226790059
144,4.941529780957241
145,5.219746096993089
146,5.376232998551558
147,5.265494942433688
148,4.987469315280014
149,4.798358702867841
150,4.875537071111251
151,5.152253264187528
152,5.376145439219654
153,5.340394577717299
154,5.075792536125134
155,4.825373285339859
156,4.822227198929788
157,5.073617757537337
158,5.351336414502676
159,5.399891274684782
160,5.172616082681282
161,4.877508693044087
162,4.787958086342945
163,4.990575282674551
164,5.302721951191613
165,5.438173102218464
166,5.270676799157781
167,4.952722237584786
168,4.777845774971909
169,4.9107680447249695
170,5.23346081486899
171,5.4509580768367
172,5.362114744222719
173,5.046775555611936
174,4.795215232960578
175,4.842102891687685
176,5.148808787100281
177,5.435982784873099
178,5.43915281954632
179,5.153482535871559
180,4.841185051135821
181,4.792048593157413
182,5.05577169201233
183,5.393333029415551
184,5.494807053050952
185,5.265149836634882
186,4.9144310952294346
187,4.766934037251336
188,4.9625791004514666
189,5.32557818648649
190,5.5235637258986285
191,5.373179065512265
192,5.011159670661691
193,4.7713117621958645
194,4.878018104243825
195,5.237687320517685
196,5.521959781783413
197,5.468783502110341
198,5.1253028777009435
199,4.807448063245115
200,4.810681081114402
201,5.136724119211074
202,5.489009036373796
203,5.543759738267786
204,5.248929106599619
205,4.874992021815217
206,4.76819153591233
207,5.031337718598035
208,5.426428258959481
209,5.591247056258234
210,5.372841777703959
211,4.970861805675105
212,4.756476832230169
213,4.931085715956748
214,5.338633365189082
215,5.606405617441606
216,5.487321266965002
217,5.089368581514528
218,4.77915530608438
219,4.845642343225986
220,5.232495433494514
221,5.58694894866241
222,5.58295017216806
223,5.222577854430391
224,4.837097793180491
225,4.783957304897963
226,5.116867394644128
227,5.533476603070066
228,5.651452116493445
229,5.360886765337438
230,4.928210466135452
231,4.753437904331756
232,5.001913200420286
233,5.449568505320329
234,5.686470211482915
235,5.493775721265133
236,5.047468053785773
237,4.7592279697233195
238,4.8982901701261925
239,5.341622145649486
240,5.6842136743621365
241,5.610675545799227
242,5.18720543676118
243,4.803651456455849
244,4.816250285919995
245,5.218435844018006
246,5.643909919814422
247,5.701878749638328
248,5.337653051133972
249,4.885876729665062
250,4.764735990229097
251,5.090563882133163
252,5.568014154345841
253,5.75941680670756
254,5.487679440215996
255,5.001840266188509
256,4.750549486537184
257,4.969490412144811
258,5.462147983443921
259,5.777825269284381
260,5.625684645984243
261,5.144447208859226
262,4.777671144210446
263,4.866686780427598
264,5.334761232749036
265,5.754725390144411
266,5.740572742079151
267,5.304042606654797
268,4.846792434097118
269,4.792629578429272
270,5.196535188905545
271,5.691164263685925
272,5.82272217450849
273,5.4691232845593865
274,4.955112549136641
275,4.755863070744151
276,5.059568715657417
277,5.591674389775157
278,5.864869727067994
279,5.627238195539973
280,5.096426724335632
281,4.762188892783167
282,4.936409132807119
283,5.464036526201273
284,5.862828333887949
285,5.766006806418806
286,5.261509957942567
287,4.814057895785936
288,4.839005482447527
289,5.318754850274833
290,5.815970467674807
291,5.8741722792386515
292,5.438774372910914
