index,output
400,5.53452649651437
401,5.536131942604489
402,5.537737388694608
403,5.539342834784727
404,5.540948280874846
405,5.542553726964966
406,5.544159173055085
407,5.545764619145205
408,5.547370065235324
409,5.548975511325443
410,5.550580957415562
411,5.552186403505681
412,5.5537918495958
413,5.55539729568592
414,5.5570027417760395
415,5.558608187866159
416,5.560213633956278
417,5.561819080046397
418,5.563424526136517
419,5.565029972226636
420,5.566635418316755
421,5.568240864406874
422,5.5698463104969935
423,5.571451756587113
424,5.573057202677232
425,5.574662648767352
426,5.576268094857471
427,5.57787354094759
428,5.579478987037709
429,5.581084433127828
430,5.582689879217948
431,5.584295325308068
432,5.585900771398187
433,5.587506217488306
434,5.589111663578425
435,5.590717109668544
436,5.592322555758663
437,5.5939280018487825
438,5.5955334479389025
439,5.597138894029022
440,5.598744340119141
441,5.60034978620926
442,5.601955232299379
443,5.603560678389499
444,5.605166124479618
445,5.606771570569737
446,5.6083770166598566
447,5.609982462749976
448,5.611587908840095
449,5.613193354930214
450,5.614798801020333
451,5.616404247110453
452,5.618009693200572
453,5.6196151392906915
454,5.621220585380811
455,5.62282603147093
456,5.62443147756105
457,5.626036923651169
458,5.627642369741288
459,5.629247815831407
460,5.630853261921526
461,5.6324587080116455
462,5.634064154101765
463,5.635669600191885
464,5.637275046282004
465,5.638880492372123
466,5.640485938462242
467,5.642091384552361
468,5.64369683064248
469,5.6453022767326
470,5.64690772282272
471,5.648513168912839
472,5.650118615002958
473,5.651724061093077
474,5.653329507183196
475,5.654934953273315
476,5.656540399363435
477,5.6581458454535545
478,5.659751291543674
479,5.661356737633793
480,5.662962183723912
481,5.664567629814031
482,5.666173075904151
483,5.66777852199427
484,5.669383968084389
485,5.6709894141745085
486,5.672594860264628
487,5.674200306354747
488,5.675805752444866
489,5.677411198534986
490,5.679016644625105
491,5.680622090715224
492,5.682227536805343
493,5.683832982895463
494,5.685438428985582
495,5.687043875075702
496,5.688649321165821
497,5.69025476725594
498,5.691860213346059
499,5.693465659436178
500,5.6950711055262975
