0,3.0
1,2.0
2,1.0
3,4.0
4,5.0
5,7.0
6,14.0
7,11.0
8,12.0
9,16.0
10,20.0
11,17.0
12,18.0
13,27.0
14,27.0
15,28.0
16,36.0
17,29.0
18,38.0
19,41.0
20,41.0
21,45.0
22,64.0
23,70.0
24,83.0
25,83.0
26,73.0
27,89.0
28,91.0
29,117.0
30,101.0
31,99.0
32,131.0
33,129.0
34,142.0
35,169.0
36,173.0
37,151.0
38,172.0
39,167.0
40,179.0
41,180.0
42,223.0
43,280.0
44,247.0
45,333.0
46,297.0
47,312.0
48,341.0
49,353.0
50,386.0
51,416.0
52,426.0
53,487.0
54,476.0
55,459.0
56,531.0
57,606.0
58,567.0
59,659.0
60,673.0
61,672.0
62,793.0
63,835.0
64,853.0
65,924.0
66,924.0
67,1105.0
68,1134.0
69,1063.0
70,1158.0
71,1157.0
72,1135.0
73,1132.0
74,1153.0
75,1305.0
76,1560.0
77,1573.0
78,1621.0
79,1659.0
80,1877.0
81,1888.0
82,2104.0
83,2306.0
84,2155.0
85,954.0
86,1215.0
87,1444.0
88,1447.0
89,921.0
90,1769.0
91,1854.0
92,2109.0
93,2073.0
94,1736.0
95,2329.0
96,2307.0
97,2598.0
98,2382.0
99,2207.0
100,2359.0
101,2505.0
102,2589.0
103,2670.0
104,2850.0
105,3210.0
106,2860.0
107,3416.0
108,1777.0
109,1314.0
110,1263.0
111,1486.0
112,1332.0
113,1095.0
114,1931.0
115,2901.0
116,2998.0
117,2841.0
118,2302.0
119,2587.0
120,2644.0
121,2671.0
122,2698.0
123,3116.0
124,3263.0
125,3101.0
126,3054.0
127,3224.0
128,3573.0
129,3641.0
130,3839.0
131,4086.0
132,4415.0
133,4475.0
134,5335.0
135,5271.0
136,5765.0
137,6060.0
138,7639.0
139,7417.0
140,8025.0
141,8324.0
142,7553.0
143,8092.0
144,7995.0
145,8473.0
