index,output
1,4.946103618936669
2,4.947557575435946
3,4.949011531935222
4,4.9504654884344985
5,4.9519194449337745
6,4.95337340143305
7,4.954827357932327
8,4.956281314431603
9,4.957735270930879
10,4.959189227430156
11,4.960643183929432
12,4.962097140428709
13,4.963551096927985
14,4.9650050534272605
15,4.966459009926537
16,4.967912966425813
17,4.969366922925089
18,4.970820879424366
19,4.972274835923642
20,4.973728792422919
21,4.975182748922195
22,4.976636705421471
23,4.9780906619207475
24,4.979544618420023
25,4.9809985749193
26,4.982452531418576
27,4.983906487917852
28,4.985360444417129
29,4.986814400916405
30,4.988268357415681
31,4.989722313914958
32,4.9911762704142335
33,4.99263022691351
34,4.994084183412786
35,4.995538139912062
36,4.996992096411339
37,4.998446052910615
38,4.999900009409891
39,5.001353965909168
40,5.002807922408444
41,5.0042618789077205
42,5.005715835406996
43,5.007169791906272
44,5.008623748405549
45,5.010077704904825
46,5.011531661404101
47,5.012985617903378
48,5.014439574402654
49,5.015893530901931
50,5.0173474874012065
51,5.018801443900482
52,5.020255400399759
53,5.021709356899035
54,5.023163313398312
55,5.024617269897588
56,5.026071226396864
57,5.027525182896141
58,5.028979139395417
59,5.030433095894693
60,5.031887052393969
61,5.033341008893245
62,5.034794965392522
63,5.036248921891798
64,5.037702878391074
65,5.039156834890351
66,5.040610791389627
67,5.042064747888903
68,5.0435187043881795
69,5.044972660887455
70,5.046426617386732
71,5.047880573886008
72,5.049334530385284
73,5.050788486884561
74,5.052242443383837
75,5.053696399883114
76,5.05515035638239
77,5.056604312881666
78,5.058058269380942
79,5.059512225880218
80,5.060966182379494
81,5.062420138878771
82,5.063874095378047
83,5.065328051877324
84,5.0667820083766
85,5.068235964875876
86,5.0696899213751525
87,5.071143877874428
88,5.072597834373704
89,5.074051790872981
90,5.075505747372257
91,5.076959703871534
92,5.07841366037081
93,5.079867616870086
94,5.081321573369363
95,5.082775529868639
96,5.084229486367915
97,5.085683442867191
98,5.087137399366467
99,5.088591355865744
100,5.09004531236502
101,5.091499268864296
102,5.092953225363573
103,5.094407181862849
104,5.0958611383621255
105,5.097315094861401
106,5.098769051360677
107,5.100223007859954
108,5.10167696435923
109,5.103130920858506
110,5.104584877357783
111,5.106038833857059
112,5.107492790356336
113,5.108946746855612
114,5.1104007033548875
115,5.111854659854164
116,5.11330861635344
117,5.114762572852717
118,5.116216529351993
119,5.117670485851269
120,5.119124442350546
121,5.120578398849822
122,5.122032355349098
123,5.123486311848374
124,5.12494026834765
125,5.126394224846927
126,5.127848181346203
127,5.129302137845479
128,5.130756094344756
129,5.132210050844032
130,5.133664007343308
131,5.135117963842585
132,5.1365719203418605
133,5.138025876841137
134,5.139479833340413
135,5.140933789839689
136,5.142387746338966
137,5.143841702838242
138,5.145295659337519
139,5.146749615836795
140,5.148203572336071
141,5.149657528835347
142,5.151111485334623
143,5.152565441833899
144,5.154019398333176
145,5.155473354832452
146,5.156927311331729
147,5.158381267831005
148,5.159835224330281
149,5.161289180829558
150,5.1627431373288335
151,5.164197093828109
152,5.165651050327386
153,5.167105006826662
154,5.168558963325939
155,5.170012919825215
156,5.171466876324491
157,5.172920832823768
158,5.174374789323044
159,5.17582874582232
160,5.177282702321596
161,5.178736658820872
162,5.180190615320149
163,5.181644571819425
164,5.183098528318701
165,5.184552484817978
166,5.186006441317254
167,5.187460397816531
168,5.1889143543158065
169,5.190368310815082
170,5.191822267314359
171,5.193276223813635
172,5.194730180312911
173,5.196184136812188
174,5.197638093311464
175,5.199092049810741
176,5.200546006310017
177,5.2019999628092926
178,5.203453919308569
179,5.204907875807845
180,5.206361832307122
181,5.207815788806398
182,5.209269745305674
183,5.210723701804951
184,5.212177658304227
185,5.213631614803503
186,5.2150855713027795
187,5.216539527802055
188,5.217993484301332
189,5.219447440800608
190,5.220901397299884
191,5.222355353799161
192,5.223809310298437
193,5.225263266797713
194,5.22671722329699
195,5.2281711797962656
196,5.229625136295542
197,5.231079092794818
198,5.232533049294094
199,5.233987005793371
200,5.235440962292647
201,5.236894918791924
202,5.2383488752912
203,5.239802831790476
204,5.2412567882897525
205,5.242710744789028
206,5.244164701288304
207,5.245618657787581
208,5.247072614286857
209,5.248526570786133
210,5.24998052728541
211,5.251434483784686
212,5.252888440283963
213,5.2543423967832386
214,5.2557963532825145
215,5.257250309781791
216,5.258704266281067
217,5.260158222780344
218,5.26161217927962
219,5.263066135778896
220,5.264520092278173
221,5.265974048777449
222,5.2674280052767255
223,5.268881961776001
224,5.270335918275277
225,5.271789874774554
226,5.27324383127383
227,5.274697787773106
228,5.276151744272383
229,5.277605700771659
230,5.279059657270936
231,5.280513613770212
232,5.2819675702694875
233,5.283421526768764
234,5.28487548326804
235,5.286329439767316
236,5.287783396266593
237,5.289237352765869
238,5.290691309265146
239,5.292145265764422
240,5.293599222263698
241,5.295053178762974
242,5.29650713526225
243,5.297961091761526
244,5.299415048260803
245,5.300869004760079
246,5.302322961259356
247,5.303776917758632
248,5.305230874257908
249,5.306684830757185
250,5.3081387872564605
251,5.309592743755736
252,5.311046700255013
253,5.312500656754289
254,5.313954613253566
255,5.315408569752842
256,5.316862526252118
257,5.318316482751395
258,5.319770439250671
259,5.321224395749947
260,5.322678352249223
261,5.324132308748499
262,5.325586265247776
263,5.327040221747052
264,5.328494178246329
265,5.329948134745605
266,5.331402091244881
267,5.332856047744158
268,5.3343100042434335
269,5.335763960742709
270,5.337217917241986
271,5.338671873741262
272,5.340125830240538
273,5.341579786739815
274,5.343033743239091
275,5.344487699738368
276,5.345941656237644
277,5.3473956127369195
278,5.348849569236196
279,5.350303525735472
280,5.351757482234749
281,5.353211438734025
282,5.354665395233301
283,5.356119351732578
284,5.357573308231854
285,5.35902726473113
286,5.3604812212304065
287,5.361935177729682
288,5.363389134228959
289,5.364843090728235
290,5.366297047227511
291,5.367751003726788
292,5.369204960226064
293,5.37065891672534
294,5.372112873224617
295,5.3735668297238925
296,5.375020786223169
297,5.376474742722445
298,5.377928699221721
299,5.379382655720998
300,5.380836612220274
301,5.382290568719551
302,5.383744525218827
303,5.385198481718103
304,5.3866524382173795
305,5.388106394716655
306,5.389560351215931
307,5.391014307715208
308,5.392468264214484
309,5.393922220713761
310,5.395376177213037
311,5.396830133712313
312,5.39828409021159
313,5.3997380467108655
314,5.4011920032101415
315,5.402645959709418
316,5.404099916208694
317,5.405553872707971
318,5.407007829207247
319,5.408461785706523
320,5.4099157422058
321,5.411369698705076
322,5.4128236552043525
323,5.414277611703628
324,5.415731568202904
325,5.417185524702181
326,5.418639481201457
327,5.420093437700733
328,5.42154739420001
329,5.423001350699286
330,5.424455307198563
331,5.4259092636978385
332,5.4273632201971145
333,5.428817176696391
334,5.430271133195667
335,5.431725089694943
336,5.43317904619422
337,5.434633002693496
338,5.436086959192773
339,5.437540915692049
340,5.438994872191325
341,5.440448828690601
342,5.441902785189877
343,5.443356741689154
344,5.44481069818843
345,5.446264654687706
346,5.447718611186983
347,5.449172567686259
348,5.450626524185535
349,5.4520804806848115
350,5.4535344371840875
351,5.454988393683363
352,5.45644235018264
353,5.457896306681916
354,5.459350263181193
355,5.460804219680469
356,5.462258176179745
357,5.463712132679022
358,5.465166089178298
359,5.466620045677574
360,5.46807400217685
361,5.469527958676126
362,5.470981915175403
363,5.472435871674679
364,5.473889828173956
365,5.475343784673232
