index,output
400,5.38296680552381
401,5.384099590778602
402,5.385232376033393
403,5.386365161288185
404,5.387497946542977
405,5.388630731797768
406,5.38976351705256
407,5.390896302307352
408,5.392029087562143
409,5.393161872816935
410,5.394294658071727
411,5.395427443326518
412,5.39656022858131
413,5.397693013836102
414,5.398825799090893
415,5.399958584345685
416,5.401091369600477
417,5.402224154855269
418,5.4033569401100605
419,5.4044897253648525
420,5.4056225106196445
421,5.406755295874436
422,5.407888081129228
423,5.40902086638402
424,5.410153651638811
425,5.411286436893603
426,5.412419222148395
427,5.413552007403186
428,5.414684792657978
429,5.41581757791277
430,5.416950363167561
431,5.418083148422353
432,5.419215933677145
433,5.420348718931936
434,5.421481504186728
435,5.42261428944152
436,5.423747074696311
437,5.424879859951103
438,5.426012645205895
439,5.427145430460686
440,5.428278215715478
441,5.42941100097027
442,5.430543786225062
443,5.431676571479853
444,5.432809356734645
445,5.433942141989437
446,5.435074927244228
447,5.43620771249902
448,5.437340497753812
449,5.438473283008603
450,5.439606068263395
451,5.440738853518187
452,5.441871638772978
453,5.44300442402777
454,5.444137209282562
455,5.4452699945373535
456,5.4464027797921455
457,5.4475355650469375
458,5.448668350301729
459,5.449801135556521
460,5.450933920811313
461,5.452066706066104
462,5.453199491320896
463,5.454332276575688
464,5.455465061830479
465,5.456597847085271
466,5.457730632340063
467,5.458863417594854
468,5.459996202849646
469,5.461128988104438
470,5.462261773359229
471,5.463394558614021
472,5.464527343868813
473,5.465660129123604
474,5.466792914378396
475,5.467925699633188
476,5.469058484887979
477,5.470191270142771
478,5.471324055397563
479,5.472456840652354
480,5.473589625907146
481,5.474722411161938
482,5.475855196416729
483,5.476987981671521
484,5.478120766926313
485,5.479253552181104
486,5.480386337435896
487,5.481519122690688
488,5.482651907945479
489,5.483784693200271
490,5.484917478455063
491,5.4860502637098545
492,5.4871830489646465
493,5.4883158342194385
494,5.4894486194742305
495,5.490581404729022
496,5.4917141899838136
497,5.4928469752386055
498,5.493979760493397
499,5.495112545748189
500,5.496245331002981
